NMR-IV 
WMR -I
ARMM-I
CARAGA REGION-II
NMR-VI
CALABARZON
CARAGA REGION-I
NBR
NCR
NMR - II
DAVAO REGION-II
ARMM-II
CENTRAL VISAYAS
NMR-I 
NMR-IV
WMR-VI
NMR-II
BUKIDNON REGION
EVR
WMR-I
NMR - IV
CARAGA REGION II
WMR-II
NMR-I
DAVAO REGION-I
DAVAO REGION I
